school,attending_feeder,attending_nonfeeder,total_with_feeder_status,grade_level
PITTSBURGH ALLDERDICE HIGH SCHOOL,1064,344,1408,9-12
PITTSBURGH ARLINGTON PreK-8,114,190,304,6-8
PITTSBURGH ARLINGTON PreK-8,229,285,514,K-5
PITTSBURGH ARSENAL 6-8,102,144,246,6-8
PITTSBURGH ARSENAL PreK-5,110,155,265,K-5
PITTSBURGH BANKSVILLE K-5,112,46,158,K-5
PITTSBURGH BEECHWOOD PreK-5,210,61,271,K-5
PITTSBURGH BRASHEAR HIGH SCHOOL,876,365,1241,9-12
PITTSBURGH BROOKLINE PreK-8,127,69,196,6-8
PITTSBURGH BROOKLINE PreK-8,256,91,347,K-5
PITTSBURGH CARRICK HIGH SCHOOL,654,504,1158,9-12
PITTSBURGH COLFAX K-8,219,75,294,6-8
PITTSBURGH COLFAX K-8,573,89,662,K-5
PITTSBURGH CONCORD K-5,284,87,371,K-5
PITTSBURGH FAISON K-5,449,268,717,K-5
PITTSBURGH FULTON PreK-5,119,152,271,K-5
PITTSBURGH GRANDVIEW PreK-5,196,173,369,K-5
PITTSBURGH GREENFIELD PreK-8,96,31,127,6-8
PITTSBURGH GREENFIELD PreK-8,183,31,214,K-5
PITTSBURGH KING PreK-8,102,203,305,6-8
PITTSBURGH KING PreK-8,240,408,648,K-5
PITTSBURGH LANGLEY K-8,171,164,335,6-8
PITTSBURGH LANGLEY K-8,308,272,580,K-5
PITTSBURGH LINCOLN PreK-5,173,214,387,K-5
PITTSBURGH MANCHESTER PreK-8,31,42,73,6-8
PITTSBURGH MANCHESTER PreK-8,69,66,135,K-5
PITTSBURGH MIFFLIN PreK-8,95,36,131,6-8
PITTSBURGH MIFFLIN PreK-8,146,70,216,K-5
PITTSBURGH MILLER PreK-5,197,152,349,K-5
PITTSBURGH MILLIONES 6-12,86,175,261,6-8
PITTSBURGH MILLIONES 6-12,233,613,846,9-12
PITTSBURGH MINADEO PreK-5,216,201,417,K-5
PITTSBURGH MORROW PreK-8,157,161,318,6-8
PITTSBURGH MORROW PreK-8,371,329,700,K-5
PITTSBURGH PERRY HIGH SCHOOL,341,571,912,9-12
PITTSBURGH PHILLIPS K-5,53,21,74,K-5
PITTSBURGH ROOSEVELT PreK-5,213,112,325,K-5
PITTSBURGH SCHILLER 6-8,70,28,98,6-8
PITTSBURGH SOUTH BROOK 6-8,313,199,512,6-8
PITTSBURGH SOUTH HILLS 6-8,370,375,745,6-8
PITTSBURGH SPRING HILL K-5,112,85,197,K-5
PITTSBURGH STERRETT 6-8,101,121,222,6-8
PITTSBURGH SUNNYSIDE PreK-8,75,100,175,6-8
PITTSBURGH SUNNYSIDE PreK-8,140,195,335,K-5
PITTSBURGH WEIL PreK-5,134,183,317,K-5
PITTSBURGH WEST LIBERTY PreK-5,135,108,243,K-5
PITTSBURGH WESTINGHOUSE ACADEMY 6-12,168,449,617,6-8
PITTSBURGH WESTINGHOUSE ACADEMY 6-12,295,417,712,9-12
PITTSBURGH WESTWOOD K-5,168,167,335,K-5
PITTSBURGH WHITTIER K-5,159,56,215,K-5
PITTSBURGH WOOLSLAIR PreK-5,83,126,209,K-5
Wilkinsburg SD,82,18,100,6-8
Wilkinsburg SD,146,51,197,9-12
